Nombre,URL,Descripción,Categoría,Marca,Precio,Moneda,Disponibilidad,Fecha Precio Válido
"Tiger I ""131"" s.Pz.Abt.504 Tunisia",https://modelplasticworld.com/es/modelos-a-escala/663-dragon-6820-tiger-i-131-spzabt504-tunisia-escala-135.html,REFERENCIA:DRA6820 Tiger I &quot;131&quot; s.Pz.Abt.504 Tunisia ESCALA:1/35 PVP:55.95€,Modelos a escala,Model Plastic World,40.63,EUR,https://schema.org/OutOfStock,2025-03-12
Pz.Beob.Wg.V Ausf.D Early Production,https://modelplasticworld.com/es/modelos-a-escala/662-dragon-6813-pzbeobwgv-ausfd-early-production-escala-135.html,REFERENCIA:DRA6813  Pz.Beob.Wg.V Ausf.D Early Production  ESCALA: 1:35 PVP:44.80€,Modelos a escala,Model Plastic World,29.55,EUR,https://schema.org/OutOfStock,2025-03-12
"M4 Sherman ""Composite Hull"" PTO",https://modelplasticworld.com/es/modelos-a-escala/661-dragon-6740-m4-sherman-composite-hull-pto-escala-135-089195867407.html,REFERENCIA:DRA6740 M4 Sherman &quot;Composite Hull&quot; PTO ESCALA:1:35 PVP: 59.95€,Modelos a escala,Model Plastic World,41.01,EUR,https://schema.org/InStock,2025-03-12
Ardelt-Rheinmetall 8.8cm Pak 43 Waffentrager,https://modelplasticworld.com/es/modelos-a-escala/658-dragon-6728-ardelt-rheinmetall-88cm-pak-43-waffentrager-escala135.html,REFERENCIA:DRA6728 Ardelt-Rheinmetall 8.8cm Pak 43 Waffentrager ESCALA:1:35 PVP:40.70€,Modelos a escala,Model Plastic World,26.85,EUR,https://schema.org/OutOfStock,2025-03-12
DRAGON 6617 - EL ALAMEIN SHERMAN - ESCALA1/35,https://modelplasticworld.com/es/modelos-a-escala/656-dragon-6617-el-alamein-sherman-escala135.html,REFERENCIA:DRA6617 EL ALAMEIN SHERMAN ESCALA:1/35 PVP:53.50€,Modelos a escala,Model Plastic World,38.82,EUR,https://schema.org/OutOfStock,2025-03-12
"M4A1(76)W ""Operation Cobra""",https://modelplasticworld.com/es/modelos-a-escala/646-dragon-6083-m4a176w-operation-cobra-escala-135.html,REFERENCIA:DRA6083 M4A1 76W Operation Cobra ESCALA:1:35 PVP:47.00€,Modelos a escala,Model Plastic World,32.15,EUR,https://schema.org/OutOfStock,2025-03-12
DRAGON 3606 - M48 AVLB - ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/639-dragon-3606-m48-avlb-escala-135.html,REFERENCIA:DRA3606 M48 AVLB ESCALA:1/35 PVP:72.80€,Modelos a escala,Model Plastic World,52.82,EUR,https://schema.org/OutOfStock,2025-03-12
Arab StuG.III Ausf.G - The Six Day War,https://modelplasticworld.com/es/modelos-a-escala/638-dragon-3601-arab-stugiii-ausfg-the-six-day-war-escala-135.html,REFERENCIA:DRA3601 Arab StuG.III Ausf.G - The Six Day War ESCALA:1/35 PVP:53.70€,Modelos a escala,Model Plastic World,35.43,EUR,https://schema.org/InStock,2025-03-12
DRAGON 3584 M67A2 Flamethrower Tank -ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/637-dragon-3584-m67a2-flamethrower-tank-escala-135.html,REFERENCIA:DRA3584 M67A2 Flamethrower Tank ESCALA:1/35 PVP:53.50€,Modelos a escala,Model Plastic World,38.82,EUR,https://schema.org/OutOfStock,2025-03-12
Egyptian Su100 Tank Destroyer The Six Day War,https://modelplasticworld.com/es/modelos-a-escala/636-dragon-3572-egyptian-su100-tank-destroyer-the-six-day-war-escala-135.html,REFERENCIA:DRA3572 Egyptian Su100 Tank Destroyer The Six Day War ESCALA:1:35 PVP:53.50€,Modelos a escala,Model Plastic World,35.29,EUR,https://schema.org/InStock,2025-03-12
Syrian T34/85 - The Six Day War,https://modelplasticworld.com/es/modelos-a-escala/635-dragon-3571-syrian-t3485-the-six-day-war-escala-135.html,REFERENCIA:DRA3571 Syrian T34/85 - The Six Day War ESCALA:1:35 PVP:53.50€,Modelos a escala,Model Plastic World,35.29,EUR,https://schema.org/InStock,2025-03-12
M60A2 Starship  Smart Kit,https://modelplasticworld.com/es/modelos-a-escala/634-dragon-3562-m60a2-starship-smart-kit-escala135.html,REFERENCIA:DRA3562 M60A2 Starship - Smart Kit ESCALA:1:35 PVP:56.99,Modelos a escala,Model Plastic World,37.62,EUR,https://schema.org/InStock,2025-03-12
